AC Name,AC No,Type,State,Winning,Party ,Electors,Votes,turnout,Reason,year
Panamarathupatty,91,NA,Tamil Nadu,K.Rajaram,ADK,NA,NA,NA,DEATH OF SHRI N.SUBBARAYAN,1977
Usilampatti,138,NA,Tamil Nadu,A.Thevar.S,FBL,NA,NA,NA,DEATH OF SHRI P.K.M.THAVER,1977
Vilavancode,233,NA,Tamil Nadu,Packiadas.D,CPM,NA,NA,NA,DEATH OF SHRI D.GNANASIGAMONY,1977
Anna,8,NA,Tamil Nadu,Eramachandran.S.M,DMK,NA,NA,NA,RESIGNATION OF Dr. M.KARUNANIDHI,1980
Mayuram,171,NA,Tamil Nadu,Sathiyaseelan.K,DMK,NA,NA,NA,DEATH OF SHRI N.KITTAPPA,1980
Thanjavur,183,NA,Tamil Nadu,A.Vandayar.K,INC,NA,NA,NA,DEATH OF SHRI N.NATARAJAN,1980
Tiruppattur,194,NA,Tamil Nadu,Arunagiri.R,INC(I),NA,NA,NA,DEATH OF SHRI V.VALMIGI,1980
Uppiliapuram,157,ST,Tamil Nadu,Saroja.R.(W),ADK,NA,NA,NA,VOID OF SHRI V.ARENGARAN ELECTION.,1980
Aruppukottai,204,NA,Tamil Nadu,V.S.Panchavarnam,ADK,NA,NA,NA,DEATH OF SHRI M.PITCHAI,1984
Cheyyar,50,NA,Tamil Nadu,V.Kuppusamy,ADK,NA,NA,NA,DEATH OF SHRI K.MURUGAN,1984
Tirunelveli,218,NA,Tamil Nadu,Veerappan.R.M,ADK,NA,NA,NA,DEATH OF SHRI S.NARAYANAN,1984
Tiruppattur,41,NA,Tamil Nadu,"Manavalan,s.P",INC,NA,NA,NA,DEATH OF SHRI Y.SHANMUGAM,1984
Harbour,2,NA,Tamil Nadu,Selvarasam,DMK,NA,NA,NA,RESIGNATION OF SHRI M.KARUNIDHI,1991
Kangayam,117,NA,Tamil Nadu,E.Veerappan,ADK,NA,NA,NA,RESIGNATION OF MS.J.JAYALALITHA,1991
Aruppukottai,204,GEN,Tamil Nadu,Thangamthenarasu,DMK,"1,67,272","1,10,183",65.90%,NA,1996
Coonoor,126,SC,Tamil Nadu,Ranganathan M,DMK,"1,69,753","99,348",58.50%,NA,1996
Natham,147,GEN,Tamil Nadu,Viswanathan.R,ADMK,"1,82,655","1,13,236",NA,NA,1996
Nellikppam,62,GEN,Tamil Nadu,Shanmugam V.C.,DMK,"1,71,250","1,12,123",65.50%,Death - Sh. A. Mani,1996
Pudukkottai,191,GEN,Tamil Nadu,Mari Ayya P.,DMK,"2,16,230","1,44,523",66.80%,NA,1996
Tiruchirapalli,167,GEN,Tamil Nadu,Anbil Periyasamy,DMK,"2,21,587","1,05,338",47.50%,Death - Sh.Anbil Poyyamozhi,1996
Acharapakam,24,GEN,Tamil Nadu,A.Bhuvaraghamoorthy,AIADMK,"1,67,240","1,03,911",62.10%,Death of Shri A.Selvaraj,2001
Andipatti,135,GEN,Tamil Nadu,Jayalalithaa J.,AIADMK,"2,08,576","1,34,744",64.60%,Resignation of Thiru Thanga Tamilselvan,2001
Gummidipundi,15,GEN,Tamil Nadu,Vijayakumar Ks,AIADMK,"1,93,346","1,47,032",76%,Due to death of Shri Thiru Sudarsanam.,2001
Kancheepuram,26,GEN,Tamil Nadu,Mythili (TMT),AIADMK,"2,35,636","1,64,443",69.80%,Due to death of Shri Thiru S.S.Thirunavukkarasu.,2001
Mangalore,70,GEN,Tamil Nadu,Ganesan V.,DMK,"2,08,405","1,42,080",68.20%,Resignation of Shri Thirumavalavan,2001
Saidapet,14,GEN,Tamil Nadu,Radha Ravi,ADMK,"2,48,003","1,29,433",52.20%,Death of Shri V.Perumal,2001
Sattangulam,224,GEN,Tamil Nadu,Neelamegavarnam L.,ADMK,"1,55,093","1,00,447",64.80%,Death of Shri S.S. Mani Nadar,2001
Viniyambadi,39,GEN,Tamil Nadu,Vadivel. R,AIADMK,"2,02,883","1,29,217",63.70%,Death of Shri M.Abdul Latheef,2001
Madurai Central,143,GEN,Tamil Nadu,"Syed Ghouse Basha, S.",DMK,"1,32,358","90,897",68.70%,"Due to the death of Thiru P.T.R. Palanivel Rajan formerly member of this assembly constituency, this assembly seat has been declared vacant.",2006
Madurai West,142,GEN,Tamil Nadu,"Rajendren, K.S.K",INC,"1,56,454","1,17,910",75.40%,Due todeath of Shri S.V.Shanmugam,2006
Alandur,28,GEN,Tamil Nadu,Venkatraman V.N.P.,All India Anna Dravida Munnetra Kazhagam,"2,39,936","2,01,216",83.90%,NA,2011
Pudukkottai,180,GEN,Tamil Nadu,K. Thondaiman,AIADMK,"1,95,049","1,43,346",73.50%,Due to Death,2011
Sankarankouil,219,SC,Tamil Nadu,Muthu Selvi .S,AIADK,"2,06,465","1,59,772",77.40%,Due to death,2011
Tiruchirappalli (West),140,GEN,Tamil Nadu,Paranjothi M.,AIDMK,"2,08,491","1,27,433",61.10%,Due to Death,2011